epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21724.8,1.55089,1.55097,1.40843,0.57378,0.59365,0.60735,0.36749,1.60791,1.55235,1.44357,0.004456,0.004456,0.004456
44,22228.7,1.55403,1.54669,1.41049,0.57601,0.59148,0.60771,0.36833,1.60672,1.54866,1.44238,0.004324,0.004324,0.004324
45,22734.2,1.55009,1.53395,1.40597,0.59361,0.58995,0.60948,0.36771,1.60654,1.54435,1.44202,0.004192,0.004192,0.004192
46,23238.9,1.54119,1.52747,1.39947,0.59573,0.59118,0.61106,0.37009,1.60625,1.54077,1.44089,0.00406,0.00406,0.00406
47,23744.5,1.52984,1.51311,1.39573,0.59905,0.58846,0.61311,0.37071,1.60623,1.53692,1.44004,0.003928,0.003928,0.003928
48,24248.1,1.52705,1.49291,1.38931,0.59721,0.58858,0.6134,0.37162,1.60608,1.53416,1.43925,0.003796,0.003796,0.003796
49,24752.9,1.52663,1.48689,1.38417,0.60356,0.58751,0.6154,0.37266,1.60586,1.5308,1.43827,0.003664,0.003664,0.003664
50,25256.6,1.51845,1.47715,1.38276,0.6052,0.58791,0.61676,0.37387,1.60528,1.52801,1.43744,0.003532,0.003532,0.003532
51,25760.6,1.52313,1.47038,1.38414,0.59236,0.58989,0.61758,0.37446,1.60477,1.52448,1.43623,0.0034,0.0034,0.0034
52,26265.6,1.51244,1.4601,1.37331,0.59071,0.59592,0.61886,0.3746,1.60465,1.52133,1.43524,0.003268,0.003268,0.003268
53,26769.8,1.50616,1.44571,1.3714,0.59563,0.59464,0.62003,0.37518,1.60488,1.51737,1.43422,0.003136,0.003136,0.003136
54,27275,1.49808,1.43141,1.3675,0.59608,0.59428,0.62192,0.37627,1.6047,1.51386,1.43322,0.003004,0.003004,0.003004
55,27779,1.48743,1.42518,1.36105,0.59304,0.60642,0.62434,0.37707,1.60474,1.51023,1.4321,0.002872,0.002872,0.002872
56,28284.3,1.48888,1.4181,1.35781,0.58541,0.60969,0.6247,0.37745,1.60416,1.50766,1.43085,0.00274,0.00274,0.00274
57,28788.3,1.48521,1.4005,1.35404,0.58453,0.60337,0.62536,0.37891,1.60392,1.50446,1.42979,0.002608,0.002608,0.002608
58,29292.4,1.47755,1.38811,1.34984,0.5857,0.60466,0.62732,0.37962,1.60339,1.50118,1.42879,0.002476,0.002476,0.002476
59,29798.2,1.47153,1.3806,1.34732,0.58521,0.61277,0.62843,0.3805,1.60287,1.49768,1.42778,0.002344,0.002344,0.002344
60,30302.5,1.45817,1.36207,1.3378,0.58624,0.6138,0.62944,0.38159,1.60254,1.49449,1.42677,0.002212,0.002212,0.002212
61,30807.7,1.45584,1.35414,1.3359,0.60669,0.59341,0.62926,0.38226,1.60288,1.49114,1.42593,0.00208,0.00208,0.00208
62,31312.1,1.45276,1.34271,1.33287,0.6068,0.58861,0.62993,0.38281,1.60358,1.48825,1.42528,0.001948,0.001948,0.001948
63,31817.8,1.43902,1.3256,1.32704,0.63679,0.57558,0.63113,0.38348,1.60335,1.48597,1.42433,0.001816,0.001816,0.001816
64,32322.6,1.43485,1.31531,1.32263,0.66017,0.5613,0.63134,0.38418,1.60387,1.48253,1.42372,0.001684,0.001684,0.001684
65,32827.6,1.43015,1.30121,1.31721,0.57854,0.61624,0.6316,0.38566,1.60419,1.47952,1.42318,0.001552,0.001552,0.001552
66,33339.8,1.41993,1.20371,1.34064,0.6337,0.57999,0.63294,0.38653,1.60455,1.4764,1.42249,0.00142,0.00142,0.00142
67,33837.9,1.40284,1.1752,1.33282,0.64475,0.57218,0.63299,0.38706,1.6055,1.47285,1.42217,0.001288,0.001288,0.001288
68,34333.6,1.39372,1.15325,1.32309,0.59652,0.61204,0.635,0.38859,1.60604,1.46947,1.42182,0.001156,0.001156,0.001156
69,34827.8,1.38668,1.13544,1.32072,0.64621,0.5712,0.63443,0.38967,1.60664,1.46743,1.4218,0.001024,0.001024,0.001024
70,35322.3,1.37429,1.11953,1.31483,0.63795,0.57464,0.63505,0.38973,1.60755,1.46538,1.42171,0.000892,0.000892,0.000892
71,35817.5,1.35674,1.09991,1.30219,0.61418,0.58834,0.63717,0.39128,1.60843,1.46249,1.42146,0.00076,0.00076,0.00076
72,36312.6,1.35272,1.0865,1.29796,0.61783,0.58811,0.63761,0.39171,1.60946,1.46019,1.4213,0.000628,0.000628,0.000628
73,36807.4,1.34293,1.07236,1.29474,0.61339,0.59489,0.63906,0.39259,1.61062,1.45839,1.42142,0.000496,0.000496,0.000496
74,37301.4,1.33368,1.05367,1.28554,0.62178,0.59095,0.63983,0.39304,1.61228,1.4565,1.42162,0.000364,0.000364,0.000364
75,37796.3,1.32716,1.04347,1.28294,0.63314,0.58217,0.6412,0.39352,1.61355,1.45496,1.42197,0.000232,0.000232,0.000232
